timestamp,event_type,player_position
1726259374.2498815,player_moved,"(100, 100)"
1726259374.2560887,player_moved,"(100, 100)"
1726259374.3118327,player_moved,"(100, 100)"
1726259374.3280053,player_moved,"(100, 100)"
1726259374.3437796,player_moved,"(100, 100)"
1726259374.3606231,player_moved,"(100, 100)"
1726259374.378154,player_moved,"(100, 100)"
1726259374.394042,player_moved,"(100, 100)"
1726259374.4227283,player_moved,"(100, 100)"
1726259374.4391794,player_moved,"(100, 100)"
1726259374.4548557,player_moved,"(100, 100)"
1726259374.4708974,player_moved,"(100, 100)"
1726259374.5030503,player_moved,"(100, 100)"
1726259374.5457,player_moved,"(100, 100)"
1726259374.5616086,player_moved,"(100, 100)"
1726259374.5781577,player_moved,"(100, 100)"
1726259374.5935867,player_moved,"(100, 100)"
1726259374.6239626,player_moved,"(100, 100)"
1726259374.6524389,player_moved,"(100, 100)"
1726259374.6684282,player_moved,"(100, 100)"
1726259374.683883,player_moved,"(100, 100)"
1726259374.6997797,player_moved,"(100, 100)"
1726259374.7167418,player_moved,"(100, 100)"
1726259374.7330065,player_moved,"(100, 100)"
1726259374.764167,player_moved,"(100, 100)"
1726259374.8123164,player_moved,"(100, 100)"
1726259374.828078,player_moved,"(100, 100)"
1726259374.8441925,player_moved,"(100, 100)"
1726259374.8601937,player_moved,"(100, 100)"
1726259374.8881934,player_moved,"(100, 100)"
1726259374.9269154,player_moved,"(100, 100)"
1726259374.9434066,player_moved,"(100, 100)"
1726259374.9604096,player_moved,"(100, 100)"
1726259374.977134,player_moved,"(100, 100)"
1726259375.0194192,player_moved,"(100, 100)"
1726259375.1238482,player_moved,"(100, 100)"
1726259375.1638818,player_moved,"(100, 100)"
1726259375.1798823,player_moved,"(100, 100)"
1726259375.290166,player_moved,"(100, 100)"
1726259375.3055365,player_moved,"(100, 100)"
1726259375.3224146,player_moved,"(100, 100)"
1726259375.3438597,player_moved,"(100, 100)"
1726259375.3722506,player_moved,"(100, 100)"
1726259375.4351492,player_moved,"(100, 100)"
1726259375.4510646,player_moved,"(100, 100)"
1726259375.4668505,player_moved,"(100, 100)"
1726259375.483355,player_moved,"(100, 100)"
1726259375.4990091,player_moved,"(100, 100)"
1726259375.5382845,player_moved,"(100, 100)"
1726259375.5997672,player_moved,"(100, 100)"
1726259375.6159215,player_moved,"(100, 100)"
1726259375.6317067,player_moved,"(100, 100)"
1726259375.6483717,player_moved,"(100, 100)"
1726259375.6635728,player_moved,"(100, 100)"
1726259375.680231,player_moved,"(100, 100)"
1726259375.7084897,player_moved,"(100, 100)"
1726259375.7246459,player_moved,"(100, 100)"
1726259375.74048,player_moved,"(100, 100)"
1726259375.7565434,player_moved,"(100, 100)"
1726259375.7730768,player_moved,"(100, 100)"
1726259375.8071775,player_moved,"(100, 100)"
1726259375.823421,player_moved,"(100, 100)"
1726259375.8396528,player_moved,"(100, 100)"
1726259375.8657296,player_moved,"(100, 100)"
1726259375.8824193,player_moved,"(100, 100)"
1726259375.913512,player_moved,"(100, 100)"
1726259375.9299543,player_moved,"(100, 100)"
1726259375.9458363,player_moved,"(100, 100)"
1726259375.9742324,player_moved,"(100, 100)"
1726259375.9898016,player_moved,"(100, 100)"
1726259376.0168183,player_moved,"(100, 100)"
1726259376.0328205,player_moved,"(100, 100)"
1726259376.0487483,player_moved,"(100, 100)"
1726259376.0757532,player_moved,"(100, 100)"
1726259376.092039,player_moved,"(100, 100)"
1726259376.1250432,player_moved,"(95, 100)"
1726259376.1411705,player_moved,"(90, 100)"
1726259376.1570342,player_moved,"(85, 100)"
1726259376.1732912,player_moved,"(80, 100)"
1726259376.1894264,player_moved,"(75, 100)"
1726259376.2265916,player_moved,"(70, 100)"
1726259376.242992,player_moved,"(65, 100)"
1726259376.258674,player_moved,"(60, 100)"
1726259376.2848217,player_moved,"(55, 100)"
1726259376.3008375,player_moved,"(50, 100)"
1726259376.332832,player_moved,"(45, 100)"
1726259376.349409,player_moved,"(40, 100)"
1726259376.3657877,player_moved,"(35, 100)"
1726259376.3814733,player_moved,"(30, 100)"
1726259376.3984497,player_moved,"(25, 100)"
1726259376.4145036,player_moved,"(20, 100)"
1726259376.4646187,player_moved,"(20, 100)"
1726259376.4808729,player_moved,"(20, 100)"
1726259376.496745,player_moved,"(20, 100)"
1726259376.5127058,player_moved,"(20, 100)"
1726259376.528706,player_moved,"(20, 100)"
1726259376.544882,player_moved,"(20, 100)"
1726259376.5724132,player_moved,"(20, 100)"
1726259376.5893204,player_moved,"(20, 100)"
1726259376.6048105,player_moved,"(20, 100)"
1726259376.6213117,player_moved,"(20, 100)"
1726259376.6604445,player_moved,"(20, 100)"
1726259376.7056315,player_moved,"(20, 100)"
1726259376.721573,player_moved,"(20, 100)"
1726259376.7377894,player_moved,"(20, 100)"
1726259376.754231,player_moved,"(20, 105)"
1726259376.7696922,player_moved,"(20, 110)"
1726259376.8089488,player_moved,"(20, 115)"
1726259376.8249595,player_moved,"(20, 120)"
1726259376.8409138,player_moved,"(20, 125)"
1726259376.8672638,player_moved,"(20, 130)"
1726259376.8826923,player_moved,"(20, 135)"
1726259376.9180217,player_moved,"(20, 140)"
1726259376.9336572,player_moved,"(20, 145)"
1726259376.9608028,player_moved,"(20, 150)"
1726259376.9774787,player_moved,"(20, 155)"
1726259377.0210774,player_moved,"(20, 160)"
1726259377.036893,player_moved,"(20, 165)"
1726259377.0527961,player_moved,"(20, 170)"
1726259377.0694869,player_moved,"(20, 175)"
1726259377.085216,player_moved,"(20, 180)"
1726259377.126519,player_moved,"(20, 185)"
1726259377.1433506,player_moved,"(20, 190)"
1726259377.1592984,player_moved,"(20, 195)"
1726259377.1846292,player_moved,"(20, 200)"
1726259377.2013838,player_moved,"(20, 205)"
1726259377.2333891,player_moved,"(20, 210)"
1726259377.24923,player_moved,"(20, 215)"
1726259377.2653108,player_moved,"(20, 220)"
1726259377.2812517,player_moved,"(20, 225)"
1726259377.2968104,player_moved,"(20, 230)"
1726259377.3419588,player_moved,"(20, 235)"
1726259377.3575692,player_moved,"(20, 240)"
1726259377.3743129,player_moved,"(20, 245)"
1726259377.3999472,player_moved,"(20, 250)"
1726259377.4157197,player_moved,"(20, 255)"
1726259377.4665642,player_moved,"(20, 260)"
1726259377.4831192,player_moved,"(20, 265)"
1726259377.4985108,player_moved,"(20, 270)"
1726259377.5268989,player_moved,"(20, 275)"
1726259377.542754,player_moved,"(20, 280)"
1726259377.5753727,player_moved,"(20, 285)"
1726259377.59065,player_moved,"(20, 290)"
